Medicament;Lot;quantité;Date d'entrée; Date d'expiration
Coveram5/5;2570310009;60;10-03-2026;02-05-2028
Coveram 10mg/10mg cp B30;2570340025;100;10-03-2026;01-06-2028
TAHOR 20 MG CP B/30;010926;170;05-03-2026;01-09-2026
Levothyrox 50mg cp B30;G029KK;50;05-03-2026;01-03-2027
Levothyrox 100mcg cp B30;G02PPB;40;05-03-2026;01-02-2028
Atacand 16 mg;0334623A;130;05-03-2026;01-09-2027
Atacand 8 mg;334082;70;05-03-2026;01-09-2027
Uvedose AB;LL004;170;02-03-2026;01-05-2028
Tardyferon B9;T01781;100;02-03-2026;01-09-2027
Tardyferon 80mg B60 cp;T01692;0;02-03-2026;01-04-2028
princi-p fort;142;20;02-03-2026;01-06-2027
Doliprane 500 mg;875;30;02-03-2026;01-03-2028
doliprane 1000 mg;921;40;02-03-2026;01-08-2027
Aerius 5;C131684;50;02-03-2026;01-05-2027
Acfol Cp B25;EJ25739;100;02-03-2026;01-06-2030
Acfol Cp B25;Ej24701;32;18-02-2026;01-08-2029
Aspegic 100;25E003;99;18-02-2026;01-05-2027
VANCOMYCINE 500mg;2124410B;700;03-02-2026;01-11-2027
QALYVIZ 0.5;A26500;142;22-01-2026;01-02-2027
Aldomet 250;1A0785;282;21-01-2026;01-10-2028
omoprazol 20mg;LOMUC_004;920;21-01-2026;01-12-2027
Atorvastatin 20;4L01187;57;21-01-2026;01-09-2026
Atorvastatin 20;4H00120;0;21-01-2026;01-06-2026
losartan 50mg;SW47401;140;21-01-2026;01-11-2028
losartan 100mg;SW48401;300;21-01-2026;01-11-2028
Bisoprolol NORMON 2,5MG B28 cp;SW49401;10;21-01-2026;01-11-2027
Bisoprolol NORMON 5MG B30 cp;SW50401;50;21-01-2026;01-11-2027
Pimaro (cinacalcet) 60mg B/28;A27036B;479;21-01-2026;01-08-2028
Mimpara 30 CP;A26989;810;21-01-2026;01-08-2028
levothyrox 25;G028JT;30;21-01-2026;01-12-2026
Furosemide 40mg cp;MU-105;120;21-01-2026;01-03-2028
Ansemide( furosemide ) 500mg/200UI B/50;5080;276;21-01-2026;01-05-2030
sintrom 4 mg;2404950;1;21-01-2026;01-03-2029
